conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1785300561094644037,Tue Apr 30 13:29:57 +0000 2024,0,selain kasus salah sasaran kipk ada jg yg disebut disni yaitu pkh (gatau kepanjangannya apa) intinya selain uang dpt bahan' lain kek buah beras telur dll ini jg sma kasusnya yg dpt org berkecukupan,1785300561094644037,,,in,,0,0,0,https://twitter.com/jiegree/status/1785300561094644037,1344526407938916357,jiegree
1785300394010452166,Tue Apr 30 13:29:17 +0000 2024,0,Makin banyak yang ke spill yang kipk tapi ternyata hidupnya hedon alias salah sasaran. Kasian banget yang haknya direbut sama manusia-manusia itu,1785300394010452166,,,in,Johnny,0,0,0,https://twitter.com/whosrahmah/status/1785300394010452166,1187581909267701761,whosrahmah
1785253406166393056,Tue Apr 30 13:26:44 +0000 2024,0,@personality404_ the thing isss apakah that influencer mau diwawancara ttg kipk salah sasaran kek bjirr keknya orang biasa juga belum tentu mau,1785299751065485367,,personality404_,in,,0,0,0,https://twitter.com/gagagagawrra/status/1785299751065485367,1662451301547118592,gagagagawrra
1785299607414886693,Tue Apr 30 13:26:10 +0000 2024,0,Banyak amat kipk salah sasaran inimah yg salah jd yg seleksi kipk nya gasih,1785299607414886693,,,in,♡,0,0,0,https://twitter.com/samohaec/status/1785299607414886693,1734519974390317056,samohaec
1785270395622539737,Tue Apr 30 13:24:13 +0000 2024,0,@boomboomna @undipmenfess ini undip bnyk bener ee kejadian kipk salah sasaran,1785299116396102054,,boomboomna,in,,0,1,0,https://twitter.com/Nazifamulya/status/1785299116396102054,1160811689937235968,Nazifamulya
1785299015636242523,Tue Apr 30 13:23:49 +0000 2024,0,Lagi rame masalah kipk yg salah sasaran ya? Pgn ikutan marah tapi energi udh terkuras abis sih sebenernya. Wkwkwk. Cuman kuat berbagi cerita aja. Selama kuliah ortu cuman nanggung ukt doang. Sedangkan(-),1785299015636242523,,,in,"Bali, Indonesia",0,1,0,https://twitter.com/jeon_nayoung13/status/1785299015636242523,1492116963703017472,jeon_nayoung13
1785298991061803297,Tue Apr 30 13:23:43 +0000 2024,0,Beberapa hari ini banyak banget berita tentang kipk yang salah sasaran. Yang dapet orang-orang kaya sedangkan yang bener-bener berhak malah gak dapet dan berujung kerja banting tulang. Yang udah kaya dari orok malah foya-foya pake duit kipk wkwkwkwk,1785298991061803297,,,in,,0,1,0,https://twitter.com/kerupucc/status/1785298991061803297,1066669471220162560,kerupucc
1785298980987170821,Tue Apr 30 13:23:40 +0000 2024,3,infokan link resmi pengaduan kipk salah sasaran di UNY... daripada spall spill identitas yg masih ngalor ngidul gajelas datanya,1785298980987170821,,,in,,0,2,0,https://twitter.com/UNY_Base/status/1785298980987170821,1324003254124998656,UNY_Base
1785298172627255598,Tue Apr 30 13:20:43 +0000 2024,0,Tp sebenernya bagus krn banyak bgt kipk yg salah sasaran,1785298236485582994,,mutiarashfr,in,Bogor,0,0,0,https://twitter.com/mutiarashfr/status/1785298236485582994,2863865694,mutiarashfr
1785298146224168978,Tue Apr 30 13:20:21 +0000 2024,0,ga kelar' kejadian salah sasaran kipk ini klo di tuntas semua,1785298146224168978,,,in,,0,0,0,https://twitter.com/jiegree/status/1785298146224168978,1344526407938916357,jiegree
